
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        128, Nsync-hyd:        128
Sync-Point 201, TimeBin=19, Time: 1.12305, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 202, TimeBin=19, Time: 1.12793, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 203, TimeBin=19, Time: 1.13281, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 204, TimeBin=19, Time: 1.1377, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 205, TimeBin=19, Time: 1.14258, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 206, TimeBin=19, Time: 1.14746, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 207, TimeBin=19, Time: 1.15234, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 208, TimeBin=19, Time: 1.15723, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 209, TimeBin=19, Time: 1.16211, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 210, TimeBin=19, Time: 1.16699, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 211, TimeBin=19, Time: 1.17188, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 212, TimeBin=19, Time: 1.17676, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 213, TimeBin=19, Time: 1.18164, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 214, TimeBin=19, Time: 1.18652, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 215, TimeBin=19, Time: 1.19141, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 216, TimeBin=19, Time: 1.19629, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

